Location,Gender,Smoking Behavior,Smoking Percentage,Age,Smoking Duration,Cigarettes per day,Previous Quit Attempts,Craving Level,Stress Level,Physical Activity,Support System,Nicotine Dependence Score,Reason for Start Smoking,Quit Success
Ohio,Overall,Cigarette Use (Youth),32.2,56,30,28,2,High,Medium,Moderate,Family & Friends,5,Curiosity,No
Alabama,Female,Cigarette Use (Youth),47.8,46,39,25,6,High,High,Moderate,Family & Friends,1,Peer Pressure,Yes
West Virginia,Male,Smokeless Tobacco Use (Youth),12.7,32,18,26,3,Low,Medium,Sedentary,Professional Help,5,Peer Pressure,No
Illinois,Overall,Cigarette Use (Youth),28.5,25,11,2,5,Medium,Medium,Active,Family & Friends,6,Family Influence,No
Connecticut,Male,Smokeless Tobacco Use (Youth),20.5,38,38,34,8,Medium,Low,Moderate,None,1,Peer Pressure,No
Connecticut,Overall,Smokeless Tobacco Use (Youth),1.2,56,1,30,5,High,Medium,Moderate,Professional Help,0,Curiosity,Yes
Idaho,Male,Smokeless Tobacco Use (Youth),15.1,36,29,21,3,Low,Low,Sedentary,None,5,Family Influence,No
Vermont,Male,Cigarette Use (Youth),2.5,40,10,37,9,High,Medium,Moderate,Professional Help,7,Media Influence,No
Connecticut,Overall,Cigarette Use (Youth),13.0,28,28,23,1,Medium,High,Sedentary,Family & Friends,5,Family Influence,No
Pennsylvania,Female,Cigarette Use (Youth),42.4,28,31,33,8,Medium,Low,Moderate,None,7,Family Influence,No
Louisiana,Overall,Cessation (Youth),75.3,41,19,2,3,Low,High,Active,None,5,Peer Pressure,No
Pennsylvania,Male,Cigarette Use (Youth),1.0,53,3,27,3,High,Low,Moderate,None,5,Stress Relief,No
Kentucky,Male,Cigarette Use (Youth),44.4,57,36,22,1,Low,Medium,Sedentary,Professional Help,7,Peer Pressure,No
Pennsylvania,Female,Smokeless Tobacco Use (Youth),6.2,41,15,34,4,High,High,Moderate,Professional Help,2,Stress Relief,Yes
Utah,Female,Smokeless Tobacco Use (Youth),0.6,20,33,16,5,Low,Low,Sedentary,None,2,Family Influence,No
Louisiana,Male,Smokeless Tobacco Use (Youth),26.6,39,26,20,9,High,High,Sedentary,None,5,Family Influence,No
Delaware,Overall,Smokeless Tobacco Use (Youth),9.4,19,16,26,5,High,High,Sedentary,Professional Help,3,Media Influence,Yes
Connecticut,Overall,Smokeless Tobacco Use (Youth),5.0,41,36,16,2,High,Medium,Active,Family & Friends,6,Peer Pressure,No
New Hampshire,Overall,Cessation (Youth),41.2,47,33,6,8,Medium,Low,Active,Family & Friends,6,Media Influence,No
Massachusetts,Male,Cigarette Use (Youth),9.8,55,20,23,6,High,Medium,Moderate,None,8,Curiosity,No
Illinois,Male,Cessation (Youth),45.5,19,13,37,2,Medium,High,Sedentary,Family & Friends,1,Family Influence,Yes
Alabama,Female,Cigarette Use (Youth),5.6,38,33,8,3,Low,Low,Active,Professional Help,1,Media Influence,Yes
Arkansas,Overall,Cigarette Use (Youth),6.9,50,5,6,6,High,High,Sedentary,Family & Friends,5,Curiosity,No
Connecticut,Overall,Cigarette Use (Youth),7.2,29,37,37,7,Medium,High,Moderate,Professional Help,8,Stress Relief,No
Georgia,Female,Cessation (Youth),52.7,39,14,22,5,Low,Low,Sedentary,None,6,Peer Pressure,No
Minnesota,Overall,Cigarette Use (Youth),14.8,42,27,6,3,High,High,Active,Family & Friends,5,Curiosity,No
Iowa,Overall,Cessation (Youth),42.9,44,23,32,1,Low,Low,Active,Family & Friends,4,Peer Pressure,Yes
North Carolina,Overall,Cessation (Youth),41.3,59,14,17,9,Medium,Low,Sedentary,Professional Help,7,Family Influence,No
Connecticut,Overall,Smokeless Tobacco Use (Youth),6.0,45,4,38,7,Medium,Low,Sedentary,Professional Help,1,Stress Relief,Yes
Wisconsin,Female,Cigarette Use (Youth),8.7,33,39,17,0,High,High,Sedentary,None,2,Family Influence,No
New Hampshire,Male,Smokeless Tobacco Use (Youth),12.4,32,19,37,8,Medium,Medium,Sedentary,None,5,Curiosity,No
Wisconsin,Female,Smokeless Tobacco Use (Youth),0.6,20,4,23,7,Medium,High,Sedentary,Professional Help,0,Stress Relief,Yes
South Carolina,Overall,Cigarette Use (Youth),32.6,54,30,13,2,Low,High,Sedentary,Professional Help,7,Curiosity,No
Mississippi,Male,Cessation (Youth),49.1,24,19,32,9,High,Low,Moderate,None,8,Peer Pressure,No
Indiana,Female,Smokeless Tobacco Use (Youth),2.0,38,31,22,3,High,Medium,Moderate,Professional Help,1,Family Influence,Yes
Mississippi,Male,Cigarette Use (Youth),41.5,26,31,7,9,High,Low,Active,Family & Friends,8,Peer Pressure,No
North Carolina,Female,Cessation (Youth),66.9,56,9,22,3,Low,High,Sedentary,None,4,Stress Relief,No
North Dakota,Female,Cigarette Use (Youth),6.8,35,13,21,1,Medium,Medium,Moderate,Family & Friends,7,Media Influence,No
Tennessee,Overall,Smokeless Tobacco Use (Youth),18.2,21,14,6,9,High,Low,Sedentary,Professional Help,0,Peer Pressure,Yes
Delaware,Male,Cigarette Use (Youth),65.7,42,10,14,4,High,High,Active,None,0,Stress Relief,No
New Jersey,Male,Cessation (Youth),40.3,31,31,16,2,Low,High,Moderate,None,3,Stress Relief,No
North Dakota,Male,Cigarette Use (Youth),45.3,26,37,3,0,Low,Medium,Sedentary,None,0,Curiosity,No
Mississippi,Male,Smokeless Tobacco Use (Youth),3.2,43,23,9,1,High,High,Sedentary,Professional Help,0,Peer Pressure,Yes
South Carolina,Male,Cigarette Use (Youth),1.4,19,27,21,6,High,High,Sedentary,None,4,Family Influence,No
New Jersey,Overall,Smokeless Tobacco Use (Youth),0.1,37,6,30,0,Low,High,Sedentary,None,1,Peer Pressure,No
Hawaii,Female,Smokeless Tobacco Use (Youth),3.2,45,26,30,1,Low,High,Sedentary,None,3,Curiosity,No
West Virginia,Male,Cigarette Use (Youth),24.8,24,2,32,9,Low,Medium,Sedentary,None,7,Stress Relief,No
Iowa,Female,Cigarette Use (Youth),41.2,25,13,23,6,Low,High,Active,Professional Help,5,Family Influence,No
Utah,Male,Smokeless Tobacco Use (Youth),1.9,52,19,3,0,Medium,High,Sedentary,None,1,Media Influence,No
Rhode Island,Female,Smokeless Tobacco Use (Youth),7.2,31,1,1,6,Medium,High,Sedentary,None,2,Family Influence,No
Arizona,Female,Cigarette Use (Youth),36.5,34,32,3,7,High,Medium,Moderate,Professional Help,1,Peer Pressure,Yes
Massachusetts,Male,Cigarette Use (Youth),1.9,53,22,37,1,Medium,Medium,Sedentary,None,3,Family Influence,No
Tennessee,Female,Smokeless Tobacco Use (Youth),1.9,57,29,7,3,Low,Low,Sedentary,Family & Friends,4,Peer Pressure,Yes
Mississippi,Female,Smokeless Tobacco Use (Youth),1.5,21,2,3,6,High,Medium,Moderate,None,8,Family Influence,No
Mississippi,Female,Cessation (Youth),37.6,19,38,36,0,Low,High,Moderate,None,6,Peer Pressure,No
Oklahoma,Overall,Cigarette Use (Youth),37.3,23,11,3,5,Medium,Medium,Sedentary,Family & Friends,7,Stress Relief,No
South Carolina,Overall,Smokeless Tobacco Use (Youth),2.7,59,17,4,4,Low,Medium,Active,Professional Help,6,Stress Relief,No
Kansas,Female,Cigarette Use (Youth),1.7,21,8,31,5,High,Medium,Moderate,None,9,Peer Pressure,No
Georgia,Female,Cigarette Use (Youth),4.5,46,22,2,7,Medium,High,Moderate,Family & Friends,7,Peer Pressure,No
Pennsylvania,Male,Cigarette Use (Youth),0.2,35,4,14,0,High,Low,Sedentary,Professional Help,4,Media Influence,Yes
New Jersey,Male,Smokeless Tobacco Use (Youth),15.9,43,11,37,2,Medium,Low,Moderate,Professional Help,2,Peer Pressure,Yes
North Dakota,Female,Cigarette Use (Youth),25.6,51,8,31,8,Low,Low,Sedentary,Family & Friends,6,Curiosity,No
Mississippi,Female,Cigarette Use (Youth),0.4,27,9,2,7,High,Low,Active,Professional Help,0,Peer Pressure,Yes
Idaho,Male,Smokeless Tobacco Use (Youth),4.8,53,26,31,3,Medium,Medium,Active,Professional Help,2,Stress Relief,Yes
North Dakota,Overall,Cigarette Use (Youth),26.3,31,2,22,9,Medium,Low,Sedentary,Family & Friends,6,Family Influence,No
New Jersey,Male,Smokeless Tobacco Use (Youth),2.1,48,16,10,8,Medium,Medium,Active,Professional Help,3,Stress Relief,Yes
Oklahoma,Male,Smokeless Tobacco Use (Youth),9.6,32,31,30,6,Medium,Medium,Sedentary,Family & Friends,6,Curiosity,No
South Carolina,Overall,Smokeless Tobacco Use (Youth),1.2,25,6,33,1,Low,Low,Moderate,Professional Help,9,Family Influence,No
North Dakota,Overall,Cigarette Use (Youth),3.4,31,21,19,0,Low,High,Moderate,Family & Friends,9,Stress Relief,No
Texas,Overall,Smokeless Tobacco Use (Youth),2.8,40,26,25,0,Medium,Low,Sedentary,Professional Help,5,Peer Pressure,No
Vermont,Overall,Cessation (Youth),41.1,57,19,1,2,Low,Low,Sedentary,Family & Friends,3,Peer Pressure,Yes
California,Female,Smokeless Tobacco Use (Youth),5.9,38,28,32,9,Low,Medium,Moderate,None,6,Family Influence,No
Utah,Overall,Cigarette Use (Youth),10.3,33,8,25,1,Medium,Medium,Sedentary,Professional Help,7,Media Influence,No
West Virginia,Male,Smokeless Tobacco Use (Youth),14.9,35,14,17,3,Low,Low,Moderate,Family & Friends,7,Curiosity,No
Oklahoma,Overall,Cigarette Use (Youth),52.0,41,24,14,7,High,Low,Sedentary,Professional Help,6,Stress Relief,No
Oklahoma,Male,Smokeless Tobacco Use (Youth),2.8,43,37,13,4,High,High,Moderate,Professional Help,1,Stress Relief,Yes
Arkansas,Female,Smokeless Tobacco Use (Youth),2.6,42,26,38,4,Low,High,Active,None,7,Curiosity,No
Ohio,Male,Smokeless Tobacco Use (Youth),1.2,58,31,39,5,Medium,High,Active,Professional Help,4,Stress Relief,Yes
Wisconsin,Female,Cessation (Youth),59.0,46,32,2,4,High,Medium,Moderate,Professional Help,8,Family Influence,No
Alabama,Female,Cessation (Youth),55.0,32,2,32,4,Low,High,Moderate,None,5,Media Influence,No
Wisconsin,Female,Cigarette Use (Youth),1.5,18,25,32,6,Low,Medium,Moderate,Family & Friends,3,Family Influence,Yes
Mississippi,Male,Cigarette Use (Youth),10.8,42,2,6,5,Medium,Medium,Moderate,Family & Friends,8,Media Influence,No
New Hampshire,Overall,Smokeless Tobacco Use (Youth),14.8,24,1,25,9,Medium,Low,Moderate,Family & Friends,0,Peer Pressure,Yes
Wisconsin,Female,Smokeless Tobacco Use (Youth),2.6,26,36,3,1,Low,High,Active,Family & Friends,3,Media Influence,Yes
West Virginia,Female,Cigarette Use (Youth),28.9,41,12,18,0,Medium,Low,Moderate,Family & Friends,4,Media Influence,Yes
West Virginia,Male,Cessation (Youth),39.2,18,9,38,0,High,Low,Sedentary,Family & Friends,3,Media Influence,Yes
Maryland,Female,Smokeless Tobacco Use (Youth),0.2,25,36,3,3,High,Medium,Active,None,8,Stress Relief,No
West Virginia,Female,Smokeless Tobacco Use (Youth),0.9,41,28,5,1,Low,High,Moderate,Family & Friends,0,Media Influence,Yes
